xml_id,div_type,chapter,text_preview,text_full,category_primary,category_secondary,cultural_markers,notes
p00142,chapter,1,"He could not identify the Fairy Topic, either, and this gave him a not uncommon sensation of his own huge ignorance, a grey mist, in which floated or could be discerned odd glimpses of solid objects, odd bits of glitter of domes or shadows of roofs in the gloom.","He could not identify the Fairy Topic, either, and this gave him a not uncommon sensation of his own huge ignorance, a grey mist, in which floated or could be discerned odd glimpses of solid objects, odd bits of glitter of domes or shadows of roofs in the gloom.",,,,
p00143,chapter,1,Had the correspondence continued?,Had the correspondence continued?,,,,
p00144,chapter,1,"If it had, where was it, what jewels of information about Ash’s ‘ignored, arcane, deviously perspicuous meanings’ might not be revealed by it?","If it had, where was it, what jewels of information about Ash’s ‘ignored, arcane, deviously perspicuous meanings’ might not be revealed by it?",,,,
p00145,chapter,1,Scholarship might have to reassess all sorts of certainties.,Scholarship might have to reassess all sorts of certainties.,,,,
p00146,chapter,1,"On the other hand, had the correspondence ever in fact started?","On the other hand, had the correspondence ever in fact started?",,,,
p00147,chapter,1,Or had Ash finally floundered in his inability to express his sense of urgency?,Or had Ash finally floundered in his inability to express his sense of urgency?,,,,
p00148,chapter,1,It was this urgency above all that moved and shocked Roland.,It was this urgency above all that moved and shocked Roland.,,,,
p00149,chapter,1,"He thought he knew Ash fairly well, as well as anyone might know a man whose life seemed to be all in his mind, who lived a quiet and exemplary married life for forty years, whose correspondence was voluminous indeed, but guarded, courteous and not of the most lively.","He thought he knew Ash fairly well, as well as anyone might know a man whose life seemed to be all in his mind, who lived a quiet and exemplary married life for forty years, whose correspondence was voluminous indeed, but guarded, courteous and not of the most lively.",,,,
p00150,chapter,1,Roland liked that in Randolph Henry Ash.,Roland liked that in Randolph Henry Ash.,,,,
p00151,chapter,1,"He was excited by the ferocious vitality and darting breadth of reference of the work, and secretly, personally, he was rather pleased that all this had been achieved out of so peaceable, so unruffled a private existence.","He was excited by the ferocious vitality and darting breadth of reference of the work, and secretly, personally, he was rather pleased that all this had been achieved out of so peaceable, so unruffled a private existence.",,,,
p00152,chapter,1,He read the letters again.,He read the letters again.,,,,
p00153,chapter,1,Had a final draft been posted?,Had a final draft been posted?,,,,
p00154,chapter,1,Or had the impulse died or been rebuffed?,Or had the impulse died or been rebuffed?,,,,
p00155,chapter,1,Roland was seized by a strange and uncharacteristic impulse of his own.,Roland was seized by a strange and uncharacteristic impulse of his own.,,,,
p00156,chapter,1,It was suddenly quite impossible to put these living words back into page 300 of Vico and return them to Safe 5.,It was suddenly quite impossible to put these living words back into page 300 of Vico and return them to Safe 5.,,,,
p00157,chapter,1,"He looked about him: no one was looking: he slipped the letters between the leaves of his own copy of the Oxford Selected Ash, which he was never without.","He looked about him: no one was looking: he slipped the letters between the leaves of his own copy of the Oxford Selected Ash, which he was never without.",,,,
p00158,chapter,1,"Then he returned to the Vico annotations, transferring the most interesting methodically to his card index, until the clanging bell descended the stairwell, signifying the end of study.","Then he returned to the Vico annotations, transferring the most interesting methodically to his card index, until the clanging bell descended the stairwell, signifying the end of study.",,,,
p00159,chapter,1,He had forgotten about his lunch.,He had forgotten about his lunch.,,,,
p00160,chapter,1,"When he left, with his green and tomato boxes heaped on his Selected Ash, they nodded affably from behind the issue desk.","When he left, with his green and tomato boxes heaped on his Selected Ash, they nodded affably from behind the issue desk.",,,,
p00161,chapter,1,They were used to him.,They were used to him.,,,,
p00162,chapter,1,"There were notices about mutilation of volumes, about theft, with which he quite failed to associate himself.","There were notices about mutilation of volumes, about theft, with which he quite failed to associate himself.",,,,
p00163,chapter,1,"He left the building as usual, his battered and bulging briefcase under his arm.","He left the building as usual, his battered and bulging briefcase under his arm.",,,,
p00164,chapter,1,"He climbed on a 14 bus in Piccadilly, and went upstairs, clutching his booty.","He climbed on a 14 bus in Piccadilly, and went upstairs, clutching his booty.",,,,
p00165,chapter,1,"Between Piccadilly and Putney, where he lived in the basement of a decaying Victorian house, he progressed through his usual states of somnolence, sick juddering wakefulness, and increasing worry about Val.","Between Piccadilly and Putney, where he lived in the basement of a decaying Victorian house, he progressed through his usual states of somnolence, sick juddering wakefulness, and increasing worry about Val.",,,,
p00166,chapter,2,"A man is the history of his breaths and thoughts, acts, atoms and wounds, love, indifference and dislike; also of his race and nation, the soil that fed him and his forebears, the stones and sands of his familiar places, long-silenced battles and struggles of conscience, of the smiles of girls and the slow utterance of old women, of accidents and the gradual action of inexorable law, of all this and something else too, a single flame which in every way obeys the laws that pertain to Fire itself,…","A man is the history of his breaths and thoughts, acts, atoms and wounds, love, indifference and dislike; also of his race and nation, the soil that fed him and his forebears, the stones and sands of his familiar places, long-silenced battles and struggles of conscience, of the smiles of girls and the slow utterance of old women, of accidents and the gradual action of inexorable law, of all this and something else too, a single flame which in every way obeys the laws that pertain to Fire itself, and yet is lit and put out from one moment to the next, and can never be relumed in the whole waste of time to come.",,,,
p00167,chapter,2,"So Randolph Henry Ash, ca 1840, when he was writing Ragnarôk, a poem in twelve books, which some saw as a Christianising of the Norse myth and some trounced as atheistic and diabolically despairing.","So Randolph Henry Ash, ca 1840, when he was writing Ragnarôk, a poem in twelve books, which some saw as a Christianising of the Norse myth and some trounced as atheistic and diabolically despairing.",,,,
p00168,chapter,2,"It mattered to Randolph Ash what a man was, though he could, without undue disturbance, have written that general pantechnicon of a sentence using other terms, phrases and rhythms and have come in the end to the same satisfactory evasive metaphor.","It mattered to Randolph Ash what a man was, though he could, without undue disturbance, have written that general pantechnicon of a sentence using other terms, phrases and rhythms and have come in the end to the same satisfactory evasive metaphor.",,,,
p00169,chapter,2,"Or so Roland thought, trained in the post-structuralist deconstruction of the subject.","Or so Roland thought, trained in the post-structuralist deconstruction of the subject.",,,,
p00170,chapter,2,"If he had been asked what Roland Michell was, he would have had to give a very different answer.","If he had been asked what Roland Michell was, he would have had to give a very different answer.",,,,
p00171,chapter,2,"In 1986 he was twenty-nine, a graduate of Prince Albert College, London (1978) and a PhD of the same university (1985).","In 1986 he was twenty-nine, a graduate of Prince Albert College, London (1978) and a PhD of the same university (1985).",,,,
p00172,chapter,2,"His doctoral dissertation was entitled History, Historians and Poetry?","His doctoral dissertation was entitled History, Historians and Poetry?",,,,
p00173,chapter,2,A Study of the Presentation of Historical ‘Evidence’ in the Poems of Randolph Henry Ash.,A Study of the Presentation of Historical ‘Evidence’ in the Poems of Randolph Henry Ash.,,,,
p00174,chapter,2,"He had written it under the supervision of James Black-adder, which had been a discouraging experience.","He had written it under the supervision of James Black-adder, which had been a discouraging experience.",,,,
p00175,chapter,2,Blackadder was discouraged and liked to discourage others.,Blackadder was discouraged and liked to discourage others.,,,,
p00176,chapter,2,"(He was also a stringent scholar.) Roland was now employed, parttime, in what was known as Blackadder’s Ash Factory (why not Ashram?","(He was also a stringent scholar.) Roland was now employed, parttime, in what was known as Blackadder’s Ash Factory (why not Ashram?",,,,
p00177,chapter,2,"Val had said), which operated from the British Museum, to which Ash’s wife, Ellen, had given many of the manuscripts of his poems, when he died.","Val had said), which operated from the British Museum, to which Ash’s wife, Ellen, had given many of the manuscripts of his poems, when he died.",,,,
p00178,chapter,2,"The Ash Factory was funded by a small grant from London University and a much larger one from the Newsome Foundation in Albuquerque, a charitable trust of which Mortimer Cropper was a trustee.","The Ash Factory was funded by a small grant from London University and a much larger one from the Newsome Foundation in Albuquerque, a charitable trust of which Mortimer Cropper was a trustee.",,,,
p00179,chapter,2,This might appear to indicate that Blackadder and Cropper worked harmoniously together on behalf of Ash.,This might appear to indicate that Blackadder and Cropper worked harmoniously together on behalf of Ash.,,,,
p00180,chapter,2,This would be a misconception.,This would be a misconception.,,,,
p00181,chapter,2,"Blackadder believed Cropper to have designs on those manuscripts lodged with, but not owned by, the British Library, and to be worming his way into the confidence and goodwill of the owners by displays of munificence and helpfulness.","Blackadder believed Cropper to have designs on those manuscripts lodged with, but not owned by, the British Library, and to be worming his way into the confidence and goodwill of the owners by displays of munificence and helpfulness.",,,,
p00182,chapter,2,"Blackadder, a Scot, believed British writings should stay in Britain and be studied by the British.","Blackadder, a Scot, believed British writings should stay in Britain and be studied by the British.",,,,
p00183,chapter,2,"It may seem odd to begin a description of Roland Michell with an excursus into the complicated relations of Blackadder, Cropper and Ash, but it was in these terms that Roland most frequently thought of himself.","It may seem odd to begin a description of Roland Michell with an excursus into the complicated relations of Blackadder, Cropper and Ash, but it was in these terms that Roland most frequently thought of himself.",,,,
p00184,chapter,2,When he did not think in terms of Val.,When he did not think in terms of Val.,,,,
p00185,chapter,2,He thought of himself as a latecomer.,He thought of himself as a latecomer.,,,,
p00186,chapter,2,"He had arrived too late for things that were still in the air but vanished, the whole ferment and brightness and journeyings and youth of the 1960s, the blissful dawn of what he and his contemporaries saw as a pretty blank day.","He had arrived too late for things that were still in the air but vanished, the whole ferment and brightness and journeyings and youth of the 1960s, the blissful dawn of what he and his contemporaries saw as a pretty blank day.",,,,
p00187,chapter,2,"Through the psychedelic years he was a schoolboy in a depressed Lancashire cotton town, untouched alike by Liverpool noise and London turmoil.","Through the psychedelic years he was a schoolboy in a depressed Lancashire cotton town, untouched alike by Liverpool noise and London turmoil.",,,,
p00188,chapter,2,His father was a minor official in the County Council.,His father was a minor official in the County Council.,,,,
p00189,chapter,2,His mother was a disappointed English graduate.,His mother was a disappointed English graduate.,,,,
p00190,chapter,2,"He thought of himself as though he were an application form, for a job, a degree, a life, but when he thought of his mother, the adjective would not be expurgated.","He thought of himself as though he were an application form, for a job, a degree, a life, but when he thought of his mother, the adjective would not be expurgated.",,,,
p00191,chapter,2,She was disappointed.,She was disappointed.,,,,
p00192,chapter,2,"In herself, in his father, in him.","In herself, in his father, in him.",,,,
p00193,chapter,2,"The wrath of her disappointment had been the instrument of his education, which had taken place in a perpetual rush from site to site of a hastily amalgamated three-school comprehensive, the Aneurin Bevan school, combining Glasdale Old Grammar School, St Thomas à Becket’s C of E Secondary School and the Clothiers’ Guild Technical Modern School.","The wrath of her disappointment had been the instrument of his education, which had taken place in a perpetual rush from site to site of a hastily amalgamated three-school comprehensive, the Aneurin Bevan school, combining Glasdale Old Grammar School, St Thomas à Becket’s C of E Secondary School and the Clothiers’ Guild Technical Modern School.",,,,
p00194,chapter,2,"His mother had drunk too much stout, “gone up the school,” and had him transferred from metal work to Latin, from Civic Studies to French; she had paid a maths coach with the earnings of a paper-round she had sent him out on.","His mother had drunk too much stout, “gone up the school,” and had him transferred from metal work to Latin, from Civic Studies to French; she had paid a maths coach with the earnings of a paper-round she had sent him out on.",,,,
p00195,chapter,2,"And so he had acquired an old-fashioned classical education, with gaps where teachers had been made redundant or classroom chaos had reigned.","And so he had acquired an old-fashioned classical education, with gaps where teachers had been made redundant or classroom chaos had reigned.",,,,
p00196,chapter,2,"He had done what was hoped of him, always, had four A’s at A Level, a First, a PhD.","He had done what was hoped of him, always, had four A’s at A Level, a First, a PhD.",,,,
p00197,chapter,2,"He was now essentially unemployed, scraping a living on part-time tutoring, dogsbodying for Blackadder and some restaurant dishwashing.","He was now essentially unemployed, scraping a living on part-time tutoring, dogsbodying for Blackadder and some restaurant dishwashing.",,,,
p00198,chapter,2,"In the expansive 1960s he would have advanced rapidly and involuntarily, but now he saw himself as a failure and felt vaguely responsible for this.","In the expansive 1960s he would have advanced rapidly and involuntarily, but now he saw himself as a failure and felt vaguely responsible for this.",,,,
p00199,chapter,2,"He was a compact, clearcut man, with precise features, a lot of very soft black hair, and thoughtful dark brown eyes.","He was a compact, clearcut man, with precise features, a lot of very soft black hair, and thoughtful dark brown eyes.",,,,
p00200,chapter,2,"He had a look of wariness, which could change when he felt relaxed or happy, which was not often in these difficult days, into a smile of amused friendliness and pleasure which aroused feelings of warmth, and something more, in many women.","He had a look of wariness, which could change when he felt relaxed or happy, which was not often in these difficult days, into a smile of amused friendliness and pleasure which aroused feelings of warmth, and something more, in many women.",,,,
p00201,chapter,2,"He was generally unaware of these feelings, since he paid little attention to what people thought about him, which was part of his attraction.","He was generally unaware of these feelings, since he paid little attention to what people thought about him, which was part of his attraction.",,,,
p00202,chapter,2,"Val called him Mole, which he disliked.","Val called him Mole, which he disliked.",,,,
p00203,chapter,2,He had never told her so.,He had never told her so.,,,,
p00204,chapter,2,"He lived with Val, whom he had met at a Freshers’ tea party in the Student Union when he was eighteen.","He lived with Val, whom he had met at a Freshers’ tea party in the Student Union when he was eighteen.",,,,
p00205,chapter,2,"He believed now, though this belief may have been a mythic smoothing of his memory, that Val was the first person his undergraduate self had spoken to, socially that was, not officially.","He believed now, though this belief may have been a mythic smoothing of his memory, that Val was the first person his undergraduate self had spoken to, socially that was, not officially.",,,,
p00206,chapter,2,"He had liked the look of her, he remembered, a soft, brown uncertain look.","He had liked the look of her, he remembered, a soft, brown uncertain look.",,,,
p00207,chapter,2,"She had been standing on her own, holding a teacup in front of her, not looking about her, but rather fixedly out of the window, as though she expected no one to approach and invited no one.","She had been standing on her own, holding a teacup in front of her, not looking about her, but rather fixedly out of the window, as though she expected no one to approach and invited no one.",,,,
p00208,chapter,2,"She projected a sort of calm, a lack of strife, and so he went over to join her.","She projected a sort of calm, a lack of strife, and so he went over to join her.",,,,
p00209,chapter,2,And since then they had never not been together.,And since then they had never not been together.,,,,
p00210,chapter,2,They signed up for the same courses and joined the same societies; they sat together in seminars and went together to the National Film Theatre; they had sex together and moved together into a one-roomed flat in their second year.,They signed up for the same courses and joined the same societies; they sat together in seminars and went together to the National Film Theatre; they had sex together and moved together into a one-roomed flat in their second year.,,,,
p00211,chapter,2,"They lived frugally off a diet of porridge and lentils and beans and yogurt; they drank a little beer, making it spin out; they shared bookbuying; they were both entirely confined to their grants, which did not go far in London, and could not be supplemented with holiday earnings, for these had vanished with the oil crisis.","They lived frugally off a diet of porridge and lentils and beans and yogurt; they drank a little beer, making it spin out; they shared bookbuying; they were both entirely confined to their grants, which did not go far in London, and could not be supplemented with holiday earnings, for these had vanished with the oil crisis.",,,,
p00212,chapter,2,"Val had been, Roland was sure, partly responsible for his First.","Val had been, Roland was sure, partly responsible for his First.",,,,
p00213,chapter,2,"(Along with his mother and Randolph Henry Ash.) She simply expected it of him, she made him always say what he thought, she argued points, she worried constantly about whether she was, whether they both were, working hard enough.","(Along with his mother and Randolph Henry Ash.) She simply expected it of him, she made him always say what he thought, she argued points, she worried constantly about whether she was, whether they both were, working hard enough.",,,,
p00214,chapter,2,"They quarrelled hardly at all and when they did it was almost always because Roland expressed concern about Val’s reserve with the world in general, her refusal to advance opinions in class and, later, even to him.","They quarrelled hardly at all and when they did it was almost always because Roland expressed concern about Val’s reserve with the world in general, her refusal to advance opinions in class and, later, even to him.",,,,
p00215,chapter,2,"In the early days she had had lots of quiet opinions, he remembered, which she had offered him, shyly slyly, couched as a kind of invitation or bait.","In the early days she had had lots of quiet opinions, he remembered, which she had offered him, shyly slyly, couched as a kind of invitation or bait.",,,,
p00216,chapter,2,There had been poems she had liked.,There had been poems she had liked.,,,,
p00217,chapter,2,Once she had sat up naked in his dark digs and recited Robert Graves:,Once she had sat up naked in his dark digs and recited Robert Graves:,,,,
p00218,chapter,2,"She tells her love while half asleep, In the dark hours, With half-words whispered low: As Earth stirs in her winter sleep","She tells her love while half asleep, In the dark hours, With half-words whispered low: As Earth stirs in her winter sleep",,,,
p00219,chapter,2,"And puts out grass and flowers Despite the snow, Despite the falling snow.","And puts out grass and flowers Despite the snow, Despite the falling snow.",,,,
p00220,chapter,2,"She had a rough voice gentled, between London and Liverpool, as the group voice was.","She had a rough voice gentled, between London and Liverpool, as the group voice was.",,,,
p00221,chapter,2,"When Roland began to speak, after this, she put a hand over his mouth, which was as well, for he had nothing to say.","When Roland began to speak, after this, she put a hand over his mouth, which was as well, for he had nothing to say.",,,,
p00222,chapter,2,"Later, Roland noticed, as he himself had his successes, Val said less and less, and when she argued, offered him increasingly his own ideas, sometimes the reverse side of the knitting, but essentially his.","Later, Roland noticed, as he himself had his successes, Val said less and less, and when she argued, offered him increasingly his own ideas, sometimes the reverse side of the knitting, but essentially his.",,,,
p00223,chapter,2,She even wrote her Required Essay on “Male Ventriloquism: The Women of Randolph Henry Ash.” Roland did not want this.,She even wrote her Required Essay on “Male Ventriloquism: The Women of Randolph Henry Ash.” Roland did not want this.,,,,
p00224,chapter,2,"When he suggested that she should strike out on her own, make herself noticed, speak up, she accused him of “taunting” her.","When he suggested that she should strike out on her own, make herself noticed, speak up, she accused him of “taunting” her.",,,,
p00225,chapter,2,"When he asked, what did she mean, “taunting,” she resorted, as she always did when they argued, to silence.","When he asked, what did she mean, “taunting,” she resorted, as she always did when they argued, to silence.",,,,
p00226,chapter,2,"Since silence was also Roland’s only form of aggression, they would continue in this way for days, or, one terrible time when Roland directly criticised “Male Ventriloquism,” for weeks.","Since silence was also Roland’s only form of aggression, they would continue in this way for days, or, one terrible time when Roland directly criticised “Male Ventriloquism,” for weeks.",,,,
p00227,chapter,2,"And then the fraught silence would modulate into conciliatory monosyllable, and back to their peaceful coexistence.","And then the fraught silence would modulate into conciliatory monosyllable, and back to their peaceful coexistence.",,,,
p00228,chapter,2,"When Finals came, Roland did steadily and predictably well.","When Finals came, Roland did steadily and predictably well.",,,,
p00229,chapter,2,"Val’s papers were bland and minimal, in large confident handwriting, well laid out.","Val’s papers were bland and minimal, in large confident handwriting, well laid out.",,,,
p00230,chapter,2,"“Male Ventriloquism” was judged to be good work and discounted by the examiners as probably largely by Roland, which was doubly unjust, since he had refused to look at it, and did not agree with its central proposition, which was that Randolph Henry Ash neither liked nor understood women, that his female speakers were constructs of his own fear and aggression, that even the poem-cycle, Ask to Embla, was the work not of love but of narcissism, the poet addressing his Anima.","“Male Ventriloquism” was judged to be good work and discounted by the examiners as probably largely by Roland, which was doubly unjust, since he had refused to look at it, and did not agree with its central proposition, which was that Randolph Henry Ash neither liked nor understood women, that his female speakers were constructs of his own fear and aggression, that even the poem-cycle, Ask to Embla, was the work not of love but of narcissism, the poet addressing his Anima.",,,,
p00231,chapter,2,(No biographical critic had ever satisfactorily identified Embla.) Val did very badly.,(No biographical critic had ever satisfactorily identified Embla.) Val did very badly.,,,,
p00232,chapter,2,"Roland had supposed she had expected this, but it became dreadfully obvious that she had not.","Roland had supposed she had expected this, but it became dreadfully obvious that she had not.",,,,
p00233,chapter,2,"There were tears, night-long, choked, whimpering tears, and the first tantrum.","There were tears, night-long, choked, whimpering tears, and the first tantrum.",,,,
p00234,chapter,2,"Val left him for the first time since they set up house, and went briefly “home.” Home was Croydon, where she lived with her divorced mother in a council flat, supported by social security, supplemented occasionally by haphazard maintenance payments from her father, who was in the Merchant Navy and had not been seen since Val was five.","Val left him for the first time since they set up house, and went briefly “home.” Home was Croydon, where she lived with her divorced mother in a council flat, supported by social security, supplemented occasionally by haphazard maintenance payments from her father, who was in the Merchant Navy and had not been seen since Val was five.",,,,
p00235,chapter,2,"Val had never, during their time together, proposed to Roland that they visit her mother, though Roland had twice taken her to Glasdale, where she had helped his father wash up, and had taken his mother’s jeering deflation of their way of life in her stride, telling him, “Don’t worry, Mole.","Val had never, during their time together, proposed to Roland that they visit her mother, though Roland had twice taken her to Glasdale, where she had helped his father wash up, and had taken his mother’s jeering deflation of their way of life in her stride, telling him, “Don’t worry, Mole.",,,,
p00236,chapter,2,I’ve seen it all before.,I’ve seen it all before.,,,,
p00237,chapter,2,Only mine drinks.,Only mine drinks.,,,,
p00238,chapter,2,"If you lit a match in our kitchen, it’d go up with a roar.” When Val was gone, Roland realised, with a shock like a religious conversion, that he did not want their way of life to go on.","If you lit a match in our kitchen, it’d go up with a roar.” When Val was gone, Roland realised, with a shock like a religious conversion, that he did not want their way of life to go on.",,,,
p00239,chapter,2,"He rolled over, and spread his loosened limbs in the bed, he opened windows, he went to the Tate Gallery alone and looked at the dissolving blue and gold air of Turner’s Norham Castle.","He rolled over, and spread his loosened limbs in the bed, he opened windows, he went to the Tate Gallery alone and looked at the dissolving blue and gold air of Turner’s Norham Castle.",,,,
p00240,chapter,2,"He cooked a pheasant for his rival in the departmental rat-race, Fergus Wolff, which was exciting and civilised, although the pheasant was tough and full of shot.","He cooked a pheasant for his rival in the departmental rat-race, Fergus Wolff, which was exciting and civilised, although the pheasant was tough and full of shot.",,,,
p00241,chapter,2,"He made plans, which were not plans, but visions of solitary activity and free watchfulness, things he had never had.","He made plans, which were not plans, but visions of solitary activity and free watchfulness, things he had never had.",,,,
p00242,chapter,2,"After a week, Val came back, tearful and shaky, and declared that she meant at least to earn her living, and would take a course in shorthand-typing.","After a week, Val came back, tearful and shaky, and declared that she meant at least to earn her living, and would take a course in shorthand-typing.",,,,
p00243,chapter,2,"“At least you want me,” she told Roland, her face damp and glistening.","“At least you want me,” she told Roland, her face damp and glistening.",,,,
p00244,chapter,2,"“I don’t know why you should want me, I’m no good, but you do.” “Of course I do,” Roland had said.","“I don’t know why you should want me, I’m no good, but you do.” “Of course I do,” Roland had said.",,,,
p00245,chapter,2,"“Of course.” When his DES grant ran out, Val became the breadwinner, whilst he finished his PhD.","“Of course.” When his DES grant ran out, Val became the breadwinner, whilst he finished his PhD.",,,,
p00246,chapter,2,She acquired an IBM golfball typewriter and did academic typing at home in the evenings and various well-paid temping jobs during the day.,She acquired an IBM golfball typewriter and did academic typing at home in the evenings and various well-paid temping jobs during the day.,,,,
p00247,chapter,2,"She worked in the City and in teaching hospitals, in shipping firms and art galleries.","She worked in the City and in teaching hospitals, in shipping firms and art galleries.",,,,
p00248,chapter,2,She resisted pressure to specialise.,She resisted pressure to specialise.,,,,
p00249,chapter,2,"She would not be drawn out to talk about her work, to which she almost never referred without the adjective “menial.” “I must do just a few more menial things before I go to bed” or, more oddly, “I was nearly run over on my menial way this morning.” Her voice acquired a jeering note, not unfamiliar to Roland, who wondered for the first time what his mother had been like before her disappointment, which in her case was his father and to some extent himself.","She would not be drawn out to talk about her work, to which she almost never referred without the adjective “menial.” “I must do just a few more menial things before I go to bed” or, more oddly, “I was nearly run over on my menial way this morning.” Her voice acquired a jeering note, not unfamiliar to Roland, who wondered for the first time what his mother had been like before her disappointment, which in her case was his father and to some extent himself.",,,,
p00250,chapter,2,"The typewriter clashed and harried him at night, never rhythmical enough to be ignored.","The typewriter clashed and harried him at night, never rhythmical enough to be ignored.",,,,
p00251,chapter,2,There were now two Vais.,There were now two Vais.,,,,
p00252,chapter,2,"One sat silently at home in old jeans and unevenly hanging long crêpey shirts, splashed with murky black and purple flowers.","One sat silently at home in old jeans and unevenly hanging long crêpey shirts, splashed with murky black and purple flowers.",,,,
p00253,chapter,2,"This one had lustreless brown hair, very straight, hanging about a pale, underground face.","This one had lustreless brown hair, very straight, hanging about a pale, underground face.",,,,
p00254,chapter,2,"Just sometimes, this one had crimson nails, left over from the other, who wore a tight black skirt and a black jacket with padded shoulders over a pink silk shirt and was carefully made up with pink and brown eyeshadow, brushed blusher along the cheekbone and plummy lips.","Just sometimes, this one had crimson nails, left over from the other, who wore a tight black skirt and a black jacket with padded shoulders over a pink silk shirt and was carefully made up with pink and brown eyeshadow, brushed blusher along the cheekbone and plummy lips.",,,,
p00255,chapter,2,This mournfully bright menial Val wore high heels and a black beret.,This mournfully bright menial Val wore high heels and a black beret.,,,,
p00256,chapter,2,"She had beautiful ankles, invisible under the domestic jeans.","She had beautiful ankles, invisible under the domestic jeans.",,,,
p00257,chapter,2,Her hair was rolled into a passable pageboy and sometimes tied with a black ribbon.,Her hair was rolled into a passable pageboy and sometimes tied with a black ribbon.,,,,
p00258,chapter,2,She stopped short of perfume.,She stopped short of perfume.,,,,
p00259,chapter,2,She was not constructed to be attractive.,She was not constructed to be attractive.,,,,
p00260,chapter,2,"Roland half wished that she was, that a merchant banker would take her out to dinner, or a shady solicitor to the Playboy Club.","Roland half wished that she was, that a merchant banker would take her out to dinner, or a shady solicitor to the Playboy Club.",,,,
p00261,chapter,2,"He hated himself for these demeaning fantasies, and was reasonably afraid that she might suspect he nourished them.","He hated himself for these demeaning fantasies, and was reasonably afraid that she might suspect he nourished them.",,,,
p00262,chapter,2,"If he could get a job, it might be easier to initiate some change.","If he could get a job, it might be easier to initiate some change.",,,,
p00263,chapter,2,He made applications and was regularly turned down.,He made applications and was regularly turned down.,,,,
p00264,chapter,2,When one came up in his own department there were six hundred applications.,When one came up in his own department there were six hundred applications.,,,,
p00265,chapter,2,"Roland was interviewed, out of courtesy he decided, but the job went to Fergus Wolff, whose track record was less consistent, who could be brilliant or bathetic, but never dull and right, who was loved by his teachers, whom he exasperated and entranced, where Roland excited no emotion more passionate than solid approbation.","Roland was interviewed, out of courtesy he decided, but the job went to Fergus Wolff, whose track record was less consistent, who could be brilliant or bathetic, but never dull and right, who was loved by his teachers, whom he exasperated and entranced, where Roland excited no emotion more passionate than solid approbation.",,,,
p00266,chapter,2,"Fergus was also in the right field, which was literary theory.","Fergus was also in the right field, which was literary theory.",,,,
p00267,chapter,2,"Val was more indignant than Roland about this event, and her indignation upset him as much as his own failure, for he liked Fergus and wanted to be able to go on liking him.","Val was more indignant than Roland about this event, and her indignation upset him as much as his own failure, for he liked Fergus and wanted to be able to go on liking him.",,,,
p00268,chapter,2,"Val found one of her insisting words for Fergus too, one which was askew and inaccurate.","Val found one of her insisting words for Fergus too, one which was askew and inaccurate.",,,,
p00269,chapter,2,“That pretentious blond bombshell” she said of him.,“That pretentious blond bombshell” she said of him.,,,,
p00270,chapter,2,“That pretentious sexpot.” She liked to use sexist wolfwhistle words as a kind of boomerang.,“That pretentious sexpot.” She liked to use sexist wolfwhistle words as a kind of boomerang.,,,,
p00271,chapter,2,"This embarrassed Roland, since Fergus transcended any such terminology; he was indeed blond, and he was indeed sexually very successful, and that was an end to it.","This embarrassed Roland, since Fergus transcended any such terminology; he was indeed blond, and he was indeed sexually very successful, and that was an end to it.",,,,
p00272,chapter,2,"He came to no more meals, and Roland feared Fergus thought this was a function of his, Roland’s, resentment.","He came to no more meals, and Roland feared Fergus thought this was a function of his, Roland’s, resentment.",,,,
p00273,chapter,2,When he got home that evening he could smell that Val was in a mood.,When he got home that evening he could smell that Val was in a mood.,,,,
p00274,chapter,2,"The basement was full of the sharp warmth of frying onions, which meant she was cooking something complicated.","The basement was full of the sharp warmth of frying onions, which meant she was cooking something complicated.",,,,
p00275,chapter,2,"When she was not in a mood, when she was apathetic, she opened tins or boiled eggs, or at most dressed an avocado.","When she was not in a mood, when she was apathetic, she opened tins or boiled eggs, or at most dressed an avocado.",,,,
p00276,chapter,2,"When she was either very cheerful or very angry, she cooked.","When she was either very cheerful or very angry, she cooked.",,,,
p00277,chapter,2,"She stood at the sink, chopping courgettes and aubergines, when he came in, and did not look up, so he surmised that the mood was bad.","She stood at the sink, chopping courgettes and aubergines, when he came in, and did not look up, so he surmised that the mood was bad.",,,,
p00278,chapter,2,He put down his bag quietly.,He put down his bag quietly.,,,,
p00279,chapter,2,"They had a cavernous basement room, which they had painted apricot and white to cheer it up; it was furnished with a double divan, two very old arm-chairs with curvaceous rolled arms and head-rests, plum and plushy and dusty, a second-hand stainedoak office desk, where Roland worked, and a newer varnished beech desk, where the typewriter sat.","They had a cavernous basement room, which they had painted apricot and white to cheer it up; it was furnished with a double divan, two very old arm-chairs with curvaceous rolled arms and head-rests, plum and plushy and dusty, a second-hand stainedoak office desk, where Roland worked, and a newer varnished beech desk, where the typewriter sat.",,,,
p00280,chapter,2,"These were back to back on the long side-walls each with their Habitat anglepoise, Roland’s black, Val’s rose-pink.","These were back to back on the long side-walls each with their Habitat anglepoise, Roland’s black, Val’s rose-pink.",,,,
p00281,chapter,2,"On the back wall were bookcases, made of bricks and planks, sagging under standard texts, most of them jointly owned, some duplicated.","On the back wall were bookcases, made of bricks and planks, sagging under standard texts, most of them jointly owned, some duplicated.",,,,
